Date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,162.500000,166.279999,161.960007,165.990005,160.369492,57445100
2018-03-05,165.210007,168.259995,164.589996,167.830002,162.147186,38540200
2018-03-06,168.649994,169.110001,167.479996,168.539993,162.833191,29480900
2018-03-07,167.250000,169.070007,166.960007,168.929993,163.209946,34609400
2018-03-08,169.630005,169.979996,168.949997,169.860001,164.108490,25828400
2018-03-09,171.070007,173.160004,170.820007,173.160004,167.296722,38310500
2018-03-12,173.669998,174.479996,173.279999,174.080002,168.185608,37635000
2018-03-13,174.479996,175.210007,171.270004,171.710007,165.895844,55638900
2018-03-14,172.610001,172.740005,170.929993,171.679993,165.866867,40536400
2018-03-15,171.800003,172.529999,170.899994,171.529999,165.721924,28810400
2018-03-16,171.820007,172.199997,170.940002,171.020004,165.229218,31176700
2018-03-19,169.100006,169.220001,165.639999,167.100006,161.703842,71395100
2018-03-20,167.169998,168.039993,166.610001,167.649994,162.236069,34075700
2018-03-21,167.210007,168.759995,166.190002,166.919998,161.529648,43863500
2018-03-22,164.610001,165.770004,162.589996,162.800003,157.542725,66607300
2018-03-23,162.610001,163.300003,158.429993,158.509995,153.391251,80110400
2018-03-26,161.720001,164.600006,159.160004,164.399994,159.091049,57481500
2018-03-27,165.619995,165.619995,157.679993,159.080002,153.942841,78889100
2018-03-28,158.169998,159.779999,156.039993,157.250000,152.171967,89369700
2018-03-29,158.100006,161.710007,156.630005,160.130005,154.958954,68692600
2018-04-02,158.990005,159.740005,153.880005,155.509995,150.488129,85549400
2018-04-03,156.869995,157.919998,154.440002,157.259995,152.181595,64090000
2018-04-04,154.220001,160.229996,154.039993,159.740005,154.581543,65768700
2018-04-05,161.330002,161.580002,159.479996,160.649994,155.462128,43054900
2018-04-06,158.880005,160.460007,155.880005,156.630005,151.571945,59870900
2018-04-09,157.979996,160.880005,157.460007,157.729996,152.636429,41810400
2018-04-10,160.210007,161.729996,159.070007,161.210007,156.004059,48296800
2018-04-11,160.199997,162.000000,160.100006,160.279999,155.104126,41622100
2018-04-12,161.250000,162.770004,161.160004,162.210007,156.971786,30467900
2018-04-13,163.020004,163.259995,160.669998,161.369995,156.158859,44604900
2018-04-16,162.500000,163.190002,161.479996,162.600006,157.349167,28180800
2018-04-17,164.240005,166.460007,163.910004,166.100006,160.736145,35536100
2018-04-18,166.100006,167.000000,165.309998,166.440002,161.065186,29573900
2018-04-19,165.600006,165.990005,164.339996,164.910004,159.584595,34705700
2018-04-20,164.490005,164.610001,161.729996,162.300003,157.058853,49197100
2018-04-23,163.089996,163.729996,161.020004,161.889999,156.662079,33040600
2018-04-24,162.660004,162.910004,157.389999,158.460007,153.342865,70256800
2018-04-25,158.740005,159.309998,156.470001,158.649994,153.526718,52089300
2018-04-26,160.699997,162.529999,160.179993,161.990005,156.758865,43005500
2018-04-27,164.369995,164.410004,161.169998,162.089996,156.855637,51043400
2018-04-30,162.470001,163.479996,160.539993,160.940002,155.742767,35615300
2018-05-01,160.520004,162.800003,160.139999,162.779999,157.523315,36513500
2018-05-02,163.059998,163.570007,161.630005,161.820007,156.594376,38646800
2018-05-03,161.000000,162.399994,159.220001,161.800003,156.574997,60337100
2018-05-04,161.100006,165.250000,160.979996,164.869995,159.545837,41543200
2018-05-07,165.639999,166.779999,165.509995,166.240005,160.871628,32500200
2018-05-08,165.889999,166.429993,164.860001,166.070007,160.707108,26040200
2018-05-09,166.369995,168.000000,165.779999,167.880005,162.458679,29122700
2018-05-10,168.419998,169.740005,168.289993,169.619995,164.142487,27067600
2018-05-11,169.419998,169.860001,168.720001,169.460007,163.987656,24688800
2018-05-14,169.850006,170.820007,169.470001,169.750000,164.268280,21821700
2018-05-15,168.410004,168.500000,166.979996,167.869995,162.448959,49361600
2018-05-16,168.089996,169.369995,168.009995,168.979996,163.523163,22941200
2018-05-17,168.389999,169.610001,167.509995,168.330002,162.894150,27480200
2018-05-18,167.679993,168.259995,167.210007,167.460007,162.052231,26217900
2018-05-21,168.759995,169.500000,167.679993,168.399994,162.961853,22954600
2018-05-22,169.169998,169.449997,167.880005,168.179993,162.748917,19477700
2018-05-23,166.899994,169.619995,166.880005,169.600006,164.123123,26557800
2018-05-24,169.550003,169.850006,167.839996,169.550003,164.074722,27696500
2018-05-25,169.529999,170.330002,169.210007,169.720001,164.239243,27460500
2018-05-29,168.949997,169.919998,167.960007,168.970001,163.513443,41220500
2018-05-30,169.580002,170.479996,169.220001,170.179993,164.684357,22665800
2018-05-31,170.179993,171.199997,169.630005,170.070007,164.577942,35670900
2018-06-01,170.919998,172.839996,170.869995,172.740005,167.161728,45543300
2018-06-04,173.179993,174.339996,173.070007,174.300003,168.671341,20459600
2018-06-05,174.710007,175.130005,174.070007,174.839996,169.193893,24779300
2018-06-06,175.020004,175.889999,174.139999,175.860001,170.180954,25036600
2018-06-07,175.889999,175.929993,173.550003,174.429993,168.797134,39600300
2018-06-08,173.610001,174.880005,173.179993,174.440002,168.806824,31780300
2018-06-11,174.309998,175.339996,174.279999,174.910004,169.261673,22319700
2018-06-12,175.149994,176.000000,174.960007,175.830002,170.151917,22511800
2018-06-13,176.100006,177.139999,175.429993,175.820007,170.142273,37858600
2018-06-14,176.630005,177.889999,176.500000,177.600006,171.864761,35916000
2018-06-15,176.929993,177.330002,176.110001,176.979996,171.264786,49615700
2018-06-18,175.490005,176.649994,174.940002,176.500000,171.165878,31633200
2018-06-19,174.270004,176.039993,173.710007,176.000000,170.680969,38236000
2018-06-20,176.809998,177.979996,176.649994,177.250000,171.893250,33038000
2018-06-21,177.699997,177.880005,175.369995,175.710007,170.399734,43469400
2018-06-22,176.300003,176.369995,174.690002,175.320007,170.021545,30073200
2018-06-25,173.729996,173.990005,169.809998,171.369995,166.190903,77799700
2018-06-26,172.000000,173.059998,171.369995,172.070007,166.869751,39008100
2018-06-27,172.800003,173.580002,169.610001,169.729996,164.600464,52843500
2018-06-28,169.520004,171.770004,169.169998,171.190002,166.016373,46407700
2018-06-29,172.009995,172.919998,171.399994,171.649994,166.462433,36408500
2018-07-02,170.039993,172.850006,169.669998,172.800003,167.577698,31770000
2018-07-03,173.449997,173.449997,170.630005,170.800003,165.638153,25512700
2018-07-05,171.910004,173.059998,171.029999,172.919998,167.694077,31626200
2018-07-06,173.320007,175.740005,173.000000,175.610001,170.302795,37005600
2018-07-09,176.520004,177.229996,175.820007,177.190002,171.835052,27362100
2018-07-10,177.520004,177.720001,176.710007,177.320007,171.961075,23902500
2018-07-11,175.929993,177.070007,175.800003,176.419998,171.088303,30280600
2018-07-12,177.199997,179.460007,177.080002,179.460007,174.036438,27930100
2018-07-13,179.449997,179.899994,178.949997,179.610001,174.181900,28049800
2018-07-16,179.649994,179.949997,178.880005,179.179993,173.764862,21405300
2018-07-17,177.279999,180.649994,177.279999,180.270004,174.821915,31034100
2018-07-18,180.289993,180.440002,179.380005,179.929993,174.492203,23220800
2018-07-19,179.279999,179.880005,178.820007,179.029999,173.619431,31094100
2018-07-20,179.570007,180.169998,178.789993,178.990005,173.580627,35897300
2018-07-23,178.460007,179.639999,177.740005,179.559998,174.133423,22184700
2018-07-24,181.410004,182.050003,179.559998,180.300003,174.851013,36900300
2018-07-25,180.380005,182.929993,180.289993,182.820007,177.294907,35026600
2018-07-26,180.339996,180.919998,179.809998,180.050003,174.608597,40873500
2018-07-27,181.190002,181.309998,176.600006,177.619995,172.252014,59456100
